NS,ND,NF,Entropy,LA,LD,LT,Fix,NDEV,AGE,NUC,EXP,REXP,SEXP,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc,bug,commit_date
1,1,1,0.0,0,0,8,1,3,3.0,1,286,239.1309972393965,278,971,4,1,1,0,1,5,8,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,7,1,3,3.0,1,286,239.1309972393965,278,257,2,1,0,1,1,2,7,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,9,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,62,1,3,3.0,1,286,239.1309972393965,278,799,7,1,1,0,3,12,62,1,4,0,12,0,0,0,0,0,0,0,0,4,0,1,2,0,0,42,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1223,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1793,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,6,1,3,3.0,1,286,239.1309972393965,278,1513,1,0,0,0,2,2,6,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,6,1,3,3.0,1,286,239.1309972393965,278,1605,1,1,1,0,1,4,6,1,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1759,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,12,1,3,3.0,1,286,239.1309972393965,278,745,1,0,0,0,2,8,12,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1001,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,1,1,23,1,3,3.0,1,286,239.1309972393965,278,1551,2,2,1,1,8,7,23,2,1,0,7,1,1,0,3,0,2,0,2,1,1,2,0,0,0,12,2,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,41,1,3,3.0,1,286,239.1309972393965,278,1287,7,1,1,0,10,14,41,1,1,4,14,0,0,0,1,0,3,0,1,7,7,2,0,0,0,11,9,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,1769,2,2,2,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1421,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,1439,4,0,0,0,1,4,5,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,243,3,1,0,1,1,2,5,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,9,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,13,1,3,3.0,1,286,239.1309972393965,278,1177,5,2,2,0,2,12,13,0,3,1,12,0,0,0,0,0,0,0,0,3,0,1,0,0,0,16,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1783,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,991,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,6,1,3,3.0,1,286,239.1309972393965,278,1233,4,1,1,0,1,6,6,0,1,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,14,1,3,3.0,1,286,239.1309972393965,278,1457,6,0,0,0,4,9,14,0,1,2,9,0,0,0,1,0,2,0,0,3,0,1,0,0,0,16,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,2,1,3,3.0,1,286,239.1309972393965,278,1495,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,22,1,3,3.0,1,286,239.1309972393965,278,1623,2,5,0,5,7,7,22,0,0,1,7,5,5,0,0,0,0,0,5,5,0,1,0,0,0,14,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,6,1,3,3.0,1,286,239.1309972393965,278,1729,2,1,1,0,1,4,6,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,2,1,3,3.0,1,286,239.1309972393965,278,231,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,4,1,3,3.0,1,286,239.1309972393965,278,277,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1411,2,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,23,1,3,3.0,1,286,239.1309972393965,278,291,7,1,0,1,6,12,23,2,1,3,12,1,3,0,5,0,0,0,0,6,0,1,0,0,0,43,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,29,1,3,3.0,1,286,239.1309972393965,278,665,4,1,1,0,5,10,29,1,1,4,10,0,0,0,1,0,1,0,0,2,0,3,1,0,0,29,2,0,True,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,1705,2,2,2,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1213,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1259,2,1,0,1,1,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,1691,2,1,1,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1249,1,1,0,1,1,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,6,1,3,3.0,1,286,239.1309972393965,278,353,1,1,0,1,1,5,6,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,1745,2,2,2,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,4,1,3,3.0,1,286,239.1309972393965,278,369,3,2,1,1,1,3,4,0,1,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,False,1,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,1719,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2013-03-12 13:35:30+01:00
